section,name,calls,total_ns,avg_ns,max_ns,call_hz,frequency_class,lock_wait_total_ns,lock_wait_max_ns
function,analyserPushTotal,6006,589986700,98232.884,6596500,99.989,high,0,0
function,analyserOscilloscope,6006,5126900,853.630,9700,99.989,high,1220500,1600
function,analyserSpectrum,6006,341519700,56863.087,5601700,99.989,high,60300,300
function,analyserLoudness,6006,225949200,37620.579,1352800,99.989,high,0,0
function,analyserDynamics,6006,13226900,2202.281,54800,99.989,high,0,0
function,uiFrameDispatcher,1871,1122688100,600047.087,12629900,31.149,high,0,0
function,uiFrameAssemble,1871,1113610600,595195.404,12622800,31.149,high,0,0
function,uiOnFrameDispatch,16839,568742200,33775.295,4099500,280.338,high,0,0
function,uiModulePanelPaint,12643,37422366100,2959927.715,141801200,210.483,high,0,0
function,uiRepaintRequest,15754,0,0.000,0,262.275,high,0,0
function,uiFrameListenerFanout,16839,0,0.000,0,280.338,high,0,0
function,dataPublishLatestFrame,1871,0,0.000,0,31.149,high,0,0
function,dataGetLatestFrame,3338,0,0.000,0,55.572,high,0,0
function,dataListenerListCopy,1871,0,0.000,0,31.149,high,0,0
function,lockOsc,7877,0,0.000,0,131.138,high,1444000,43800
function,lockSpec,3278,0,0.000,0,54.573,high,116500,300
function,lockLatestFrame,1871,0,0.000,0,31.149,high,58400,200
function,lockFrameListeners,1871,0,0.000,0,31.149,high,91600,200
function,memoryFrameSnapshotAlloc,1871,0,0.000,0,31.149,high,0,0
function,memoryFrameSnapshotRecycle,1871,0,0.000,0,31.149,high,0,0

section,name,total_ns,cpu_share
partition,audioAnalysis,1175809400,0.028399
partition,uiRendering,40227407000,0.971601
partition,dataCommunication,0,0.000000
partition,memoryManagement,0,0.000000

section,name,total_ns,calls,cpu_share
thread,unknown,0,0,0.000000
thread,audio,1175809400,37443,0.028399
thread,ui,40227407000,84123,0.971601
thread,worker,0,0,0.000000

section,name,alloc_count,free_count,alloc_bytes,free_bytes,alloc_hz,free_hz
memory,global,1871,1871,70334632,70334632,31.149,31.149

section,module_type_id,module,paint_calls,paint_total_ns,paint_avg_ns,paint_max_ns,paint_over_8ms_count,paint_over_16ms_count,repaint_requests,repaint_skipped_invisible,repaint_coalesced_count,repaint_dropped_offscreen_count,dirty_area_sample_count,dirty_area_ratio_avg
ui_module,2,oscilloscope,1949,6018863800,3088180.503,141801200,8,1,2120,0,122,0,1949,0.956300
ui_module,3,spectrum,1248,2475483800,1983560.737,9099000,4,0,1260,0,55,0,1248,0.825428
ui_module,5,dynamics,1943,578266300,297615.183,582100,0,0,2115,0,122,0,1943,0.955881
ui_module,8,oscilloscopeWave,1948,4878192900,2504205.801,64065500,4,1,2120,0,122,0,1948,0.955994
ui_module,14,waveform,1947,794394200,408009.348,859400,0,0,1948,0,293,0,1947,0.597593
ui_module,15,vuMeter,2237,618224000,276362.986,731600,0,0,2359,0,794,0,2237,0.985121
ui_module,17,spectrogram3d,1371,22058941100,16089672.575,61890700,1355,735,1462,0,100,0,1371,0.863448
ui_module,18,tamagotchi,0,0,0.000,0,0,0,554,0,40,0,0,0.000000
ui_module,19,unknown(19),0,0,0.000,0,0,0,1816,0,150,0,0,0.000000

section,name,sample_count,min,avg,p95,max
frame_listener_dist,frameListenerCount,1871,9,9.000000,9,9
